Timestamp,Temperature (°C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm)
2025-10-04 19:37:17,28.12,50.21,101.04,98.57
2025-10-04 19:37:18,28.12,50.21,101.04,98.45
2025-10-04 19:37:20,28.12,50.19,101.04,98.33
2025-10-04 19:37:21,28.12,50.21,101.04,98.86
2025-10-04 19:37:22,28.12,50.2,101.04,98.57
2025-10-04 19:37:23,28.13,50.18,101.04,98.98
2025-10-04 19:37:24,28.13,50.18,101.04,98.92
2025-10-04 19:37:25,28.12,50.16,101.04,97.87
2025-10-04 19:37:26,28.12,50.15,101.04,98.16
2025-10-04 19:37:27,28.12,50.16,101.04,98.92
2025-10-04 19:37:28,28.12,50.14,101.04,98.51
2025-10-04 19:37:29,28.12,50.14,101.04,97.76
2025-10-04 19:37:30,28.11,50.14,101.04,98.33
2025-10-04 19:37:31,28.11,50.14,101.04,97.87
2025-10-04 19:37:32,28.1,50.14,101.04,97.76
2025-10-04 19:37:33,28.1,50.14,101.04,98.05
2025-10-04 19:37:34,28.11,50.14,101.04,98.8
2025-10-04 19:37:35,28.11,50.12,101.04,98.68
2025-10-04 19:37:37,28.1,50.12,101.04,98.16
2025-10-04 19:37:38,28.1,50.12,101.04,98.39
2025-10-04 19:37:39,28.1,50.12,101.04,98.1
2025-10-04 19:37:40,28.11,50.12,101.04,97.99
2025-10-04 19:37:41,28.1,50.11,101.04,98.39
2025-10-04 19:37:42,28.1,50.12,101.04,98.1
2025-10-04 19:37:43,28.1,50.12,101.04,98.39
2025-10-04 19:37:44,28.1,50.14,101.04,97.87
2025-10-04 19:37:45,28.1,50.13,101.04,98.22
2025-10-04 19:37:46,28.1,50.14,101.04,97.76
2025-10-04 19:37:47,28.11,50.12,101.04,99.04
2025-10-04 19:37:48,28.11,50.11,101.04,98.45
2025-10-04 19:37:49,28.11,50.11,101.04,98.8
2025-10-04 19:37:50,28.11,50.11,101.04,98.74
2025-10-04 19:37:51,28.11,50.11,101.04,98.22
2025-10-04 19:37:53,28.11,50.1,101.04,99.21
2025-10-04 19:37:54,28.11,50.09,101.04,98.05
2025-10-04 19:37:55,28.11,50.09,101.04,98.28
2025-10-04 19:37:56,28.1,50.1,101.04,97.64
2025-10-04 19:37:57,28.11,50.1,101.04,98.22
2025-10-04 19:37:58,28.11,50.11,101.04,98.33
2025-10-04 19:37:59,28.11,50.1,101.04,97.64
2025-10-04 19:38:00,28.1,50.09,101.04,98.39
2025-10-04 19:38:01,28.11,50.1,101.04,98.92
2025-10-04 19:38:02,28.11,50.1,101.04,99.15
2025-10-04 19:38:03,28.11,50.09,101.04,98.68
2025-10-04 19:38:04,28.11,50.08,101.04,98.74
2025-10-04 19:38:05,28.11,50.08,101.04,97.59
2025-10-04 19:38:06,28.11,50.09,101.04,97.93
2025-10-04 19:38:07,28.11,50.09,101.04,98.22
2025-10-04 19:38:08,28.1,50.09,101.04,98.1
2025-10-04 19:38:09,28.1,50.11,101.04,98.05
2025-10-04 19:38:11,28.1,50.11,101.04,98.33
2025-10-04 19:38:12,28.1,50.11,101.04,98.33
2025-10-04 19:38:13,28.11,50.1,101.04,98.05
2025-10-04 19:38:14,28.11,50.11,101.04,98.33
2025-10-04 19:38:15,28.1,50.1,101.04,97.64
2025-10-04 19:38:16,28.11,50.11,101.04,98.33
2025-10-04 19:38:17,28.11,50.11,101.04,98.51
2025-10-04 19:38:18,28.11,50.11,101.04,97.99
2025-10-04 19:38:19,28.11,50.1,101.04,98.57
2025-10-04 19:38:20,28.11,50.11,101.04,97.99
2025-10-04 19:38:21,28.11,50.11,101.04,97.93
2025-10-04 19:38:22,28.11,50.11,101.04,98.39
2025-10-04 19:38:23,28.11,50.11,101.04,98.45
2025-10-04 19:38:24,28.11,50.11,101.04,97.99
2025-10-04 19:38:25,28.11,50.1,101.04,98.22
2025-10-04 19:38:26,28.11,50.11,101.04,98.57
2025-10-04 19:38:28,28.11,50.11,101.04,97.82
2025-10-04 19:38:29,28.12,50.11,101.04,98.8
2025-10-04 19:38:30,28.12,50.11,101.04,98.28
2025-10-04 19:38:31,28.12,50.11,101.04,98.05
2025-10-04 19:38:32,28.11,50.11,101.04,98.22
2025-10-04 19:38:33,28.11,50.1,101.04,98.1
2025-10-04 19:38:34,28.11,50.1,101.04,98.22
2025-10-04 19:38:35,28.11,50.12,101.04,98.22
2025-10-04 19:38:36,28.1,50.14,101.04,97.87
2025-10-04 19:38:37,28.11,50.15,101.04,98.28
2025-10-04 19:38:38,28.13,50.34,101.04,95.63
2025-10-04 19:38:39,28.19,51.51,101.04,94.03
2025-10-04 19:38:40,28.27,53.38,101.04,90.46
2025-10-04 19:38:41,28.36,55.35,101.04,87.8
2025-10-04 19:38:42,28.42,56.82,101.04,88.73
2025-10-04 19:38:43,28.46,57.08,101.04,89.98
2025-10-04 19:38:44,28.49,56.69,101.04,91.26
2025-10-04 19:38:45,28.52,56.05,101.04,92.47
2025-10-04 19:38:47,28.54,55.36,101.04,92.99
2025-10-04 19:38:48,28.55,54.74,101.04,93.09
2025-10-04 19:38:49,28.56,54.16,101.04,94.14
2025-10-04 19:38:50,28.57,53.54,101.04,94.78
2025-10-04 19:38:51,28.56,52.97,101.04,94.67
2025-10-04 19:38:52,28.57,52.5,101.04,94.89
